Video Source,Frame Index,Worker ID,Confidence,Snapshot Path
Lathe incident.webm,1,1,0.8,breach_vid1_frame1_id1.jpg
Lathe incident.webm,154,1,0.84,breach_vid1_frame154_id1.jpg
Lathe incident.webm,171,1,0.74,breach_vid1_frame171_id1.jpg
Lathe incident.webm,183,1,0.78,breach_vid1_frame183_id1.jpg
Lathe incident.webm,188,1,0.84,breach_vid1_frame188_id1.jpg
Lathe incident.webm,200,1,0.78,breach_vid1_frame200_id1.jpg
Lathe incident.webm,208,1,0.77,breach_vid1_frame208_id1.jpg
Lathe incident.webm,229,1,0.8,breach_vid1_frame229_id1.jpg
Lathe incident.webm,238,1,0.85,breach_vid1_frame238_id1.jpg
Lathe incident.webm,258,1,0.86,breach_vid1_frame258_id1.jpg
Lathe incident.webm,261,1,0.83,breach_vid1_frame261_id1.jpg
Lathe incident.webm,274,1,0.85,breach_vid1_frame274_id1.jpg
Lathe incident.webm,324,1,0.9,breach_vid1_frame324_id1.jpg
Rolling mill accident  Paper Mill Accident .webm,2,8,0.41,breach_vid2_frame2_id8.jpg
Rolling mill accident  Paper Mill Accident .webm,10,18,0.32,breach_vid2_frame10_id18.jpg
Rolling mill accident  Paper Mill Accident .webm,24,22,0.31,breach_vid2_frame24_id22.jpg
Rolling mill accident  Paper Mill Accident .webm,221,29,0.46,breach_vid2_frame221_id29.jpg
Rolling mill accident  Paper Mill Accident .webm,343,33,0.32,breach_vid2_frame343_id33.jpg
Rolling mill accident  Paper Mill Accident .webm,364,37,0.34,breach_vid2_frame364_id37.jpg
Rolling mill accident  Paper Mill Accident .webm,403,49,0.32,breach_vid2_frame403_id49.jpg
Rolling mill accident  Paper Mill Accident .webm,464,52,0.33,breach_vid2_frame464_id52.jpg
Rolling mill accident  Paper Mill Accident .webm,532,55,0.37,breach_vid2_frame532_id55.jpg
Rolling mill accident  Paper Mill Accident .webm,632,58,0.33,breach_vid2_frame632_id58.jpg
Rolling mill accident  Paper Mill Accident .webm,669,59,0.47,breach_vid2_frame669_id59.jpg
Rolling mill accident  Paper Mill Accident .webm,761,61,0.67,breach_vid2_frame761_id61.jpg
Rolling mill accident  Paper Mill Accident .webm,785,65,0.32,breach_vid2_frame785_id65.jpg
Rolling mill accident  Paper Mill Accident .webm,802,67,0.5,breach_vid2_frame802_id67.jpg
Rolling mill accident  Paper Mill Accident .webm,812,71,0.32,breach_vid2_frame812_id71.jpg
Rolling mill accident  Paper Mill Accident .webm,835,72,0.55,breach_vid2_frame835_id72.jpg
Rolling mill accident  Paper Mill Accident .webm,871,73,0.37,breach_vid2_frame871_id73.jpg
Rolling mill accident  Paper Mill Accident .webm,905,74,0.37,breach_vid2_frame905_id74.jpg
live industrial accidents in india.webm,327,122,0.31,breach_vid3_frame327_id122.jpg
live industrial accidents in india.webm,425,113,0.17,breach_vid3_frame425_id113.jpg
live industrial accidents in india.webm,499,149,0.34,breach_vid3_frame499_id149.jpg
live industrial accidents in india.webm,517,154,0.33,breach_vid3_frame517_id154.jpg
live industrial accidents in india.webm,548,157,0.38,breach_vid3_frame548_id157.jpg
live industrial accidents in india.webm,720,171,0.45,breach_vid3_frame720_id171.jpg
live industrial accidents in india.webm,732,173,0.45,breach_vid3_frame732_id173.jpg
live industrial accidents in india.webm,771,179,0.56,breach_vid3_frame771_id179.jpg
live industrial accidents in india.webm,811,192,0.43,breach_vid3_frame811_id192.jpg
live industrial accidents in india.webm,1172,211,0.46,breach_vid3_frame1172_id211.jpg
live industrial accidents in india.webm,1177,213,0.54,breach_vid3_frame1177_id213.jpg
live industrial accidents in india.webm,1250,217,0.34,breach_vid3_frame1250_id217.jpg
